atom,resid,100ps,200ps,300ps,400ps,500ps,600ps,700ps,800ps,900ps,1000ps,Mean_100-1
CB1,OXO0,1.50E+00,1.48E+00,1.46E+00,1.44E+00,1.47E+00,1.53E+00,1.48E+00,1.50E+00,1.45E+00,1.46E+00,1.4774572
OB1,OXO0,-1.10E+00,-1.10E+00,-1.09E+00,-1.08E+00,-1.05E+00,-1.11E+00,-1.11E+00,-1.10E+00,-1.10E+00,-1.12E+00,-1.0993598
OB2,OXO0,-1.05E+00,-1.05E+00,-1.03E+00,-1.05E+00,-1.09E+00,-1.05E+00,-1.02E+00,-1.04E+00,-1.04E+00,-1.04E+00,-1.047257
CB2,OXO0,3.50E-01,3.78E-01,3.48E-01,3.86E-01,4.09E-01,3.61E-01,3.04E-01,4.25E-01,3.47E-01,3.13E-01,0.3622896
CB3,OXO0,2.82E-01,2.87E-01,2.91E-01,2.71E-01,3.15E-01,2.91E-01,3.21E-01,2.26E-01,3.02E-01,2.46E-01,0.2831716
NB1,OXO0,-1.08E+00,-1.11E+00,-1.09E+00,-1.13E+00,-1.07E+00,-1.12E+00,-1.14E+00,-1.12E+00,-1.14E+00,-1.10E+00,-1.1103332
HB1,OXO0,3.72E-01,3.81E-01,3.90E-01,4.12E-01,3.57E-01,3.83E-01,3.99E-01,4.23E-01,3.43E-01,3.95E-01,0.3854691
HB2,OXO0,4.05E-01,4.05E-01,4.01E-01,3.84E-01,3.95E-01,3.99E-01,4.13E-01,3.75E-01,4.65E-01,3.96E-01,0.4039652
CD6,OXO0,-8.11E-03,-1.08E-02,-1.07E-01,-1.21E-01,-1.50E-01,-1.14E-01,-7.34E-02,-1.62E-01,-1.91E-01,-1.61E-01,-0.1099556
HD4,OXO0,3.86E-02,7.97E-02,6.92E-02,5.47E-02,7.57E-02,6.06E-02,7.27E-02,8.23E-02,4.03E-02,8.29E-02,0.0656526
CC1,terA,6.13E-03,-3.61E-02,-5.00E-02,-1.88E-01,-2.81E-03,-1.09E-01,-1.62E-01,-9.98E-03,-7.11E-02,-1.50E-01,-0.0772343
HC1,terA,7.37E-02,2.96E-02,6.66E-02,8.00E-02,4.40E-02,8.27E-02,5.11E-02,6.49E-02,7.84E-02,8.05E-02,0.0651532
CC2,terA,-5.23E-02,3.70E-02,-3.85E-02,-9.95E-03,3.72E-02,-8.20E-02,-1.37E-02,-5.02E-02,-5.41E-03,4.39E-02,-0.013395
CC3,terA,-9.85E-02,-8.51E-02,-3.42E-02,5.98E-02,-1.19E-01,-6.25E-02,-4.43E-03,-2.08E-02,-7.56E-02,-5.83E-02,-0.049831
HC2,terA,7.77E-02,6.00E-02,8.15E-02,2.15E-02,6.95E-02,5.01E-02,2.75E-02,4.13E-02,6.90E-02,4.12E-02,0.0539411
CC4,terA,1.42E-03,-7.33E-03,-9.46E-02,-7.04E-02,-1.01E-01,-1.03E-02,-6.12E-02,-2.75E-02,-7.52E-02,-8.03E-02,-0.0526474
HC3,terA,6.57E-02,5.01E-02,1.06E-01,3.52E-02,1.21E-01,6.45E-02,4.00E-02,6.10E-02,4.14E-02,1.15E-01,0.0700384
CC5,terA,-5.98E-02,-9.43E-02,-8.03E-02,-1.05E-01,-1.16E-01,-4.65E-02,-1.83E-02,-7.34E-02,2.63E-03,-5.42E-02,-0.0644937
HC4,terA,5.53E-02,6.59E-02,9.87E-02,6.58E-02,8.89E-02,8.63E-02,5.44E-02,6.67E-02,4.98E-02,7.42E-02,0.0706078
CC6,terA,-5.70E-02,-1.00E-01,-1.32E-01,6.36E-02,2.34E-02,-8.56E-03,-1.48E-01,-5.14E-02,-9.72E-02,-1.44E-02,-0.0521684
HC5,terA,1.91E-02,1.13E-01,7.47E-02,6.50E-02,5.00E-02,6.53E-03,4.40E-02,5.63E-02,7.63E-02,4.54E-02,0.0550707
CC7,terA,-1.26E-02,-8.79E-02,-4.39E-03,-1.26E-01,-5.47E-02,-1.04E-01,3.30E-02,-8.09E-02,-1.55E-02,-2.12E-01,-0.0665531
HC6,terA,4.38E-02,6.95E-02,2.87E-02,2.48E-02,7.32E-03,9.54E-02,6.53E-02,5.40E-02,3.23E-02,1.11E-01,0.0532357
CD1,terA,-1.05E-01,-5.92E-02,-3.63E-02,-2.44E-02,-3.20E-02,-6.55E-03,-1.22E-01,2.00E-02,3.69E-02,1.27E-02,-0.0315043
HD1,terA,9.28E-02,1.94E-02,9.47E-02,5.14E-02,7.23E-02,8.08E-02,6.83E-02,6.26E-02,8.19E-02,3.95E-02,0.0663678
CD2,terA,4.56E-01,3.75E-01,4.69E-01,4.50E-01,4.40E-01,4.67E-01,4.31E-01,3.95E-01,3.87E-01,4.67E-01,0.4337936
HD2,terA,8.95E-02,1.14E-01,6.71E-02,9.90E-02,1.32E-01,5.59E-02,1.10E-01,1.35E-01,1.24E-01,5.93E-02,0.0985697
OD1,terA,-9.92E-01,-9.86E-01,-1.01E+00,-9.72E-01,-9.66E-01,-1.00E+00,-9.89E-01,-9.84E-01,-9.76E-01,-9.78E-01,-0.9858125
CD3,terA,-2.87E-02,5.82E-02,-2.83E-03,-3.77E-02,-2.79E-02,-4.74E-02,-1.67E-02,1.52E-02,1.33E-02,2.07E-02,-0.0053711
CD4,terA,7.70E-02,-1.73E-02,-2.55E-02,-4.52E-02,-7.10E-03,-2.02E-02,4.04E-02,-3.69E-02,-2.75E-02,-2.98E-02,-0.0092104
CD5,terA,4.45E-01,4.67E-01,4.57E-01,4.33E-01,3.64E-01,4.40E-01,4.02E-01,3.94E-01,4.13E-01,4.26E-01,0.4241233
HD3,terA,9.42E-02,1.04E-01,7.67E-02,1.00E-01,1.35E-01,8.57E-02,1.00E-01,8.95E-02,1.13E-01,9.48E-02,0.0993108
CA1,terA,1.48E+00,1.52E+00,1.50E+00,1.49E+00,1.46E+00,1.50E+00,1.47E+00,1.49E+00,1.52E+00,1.47E+00,1.4906442
OA1,terA,-1.13E+00,-1.12E+00,-1.11E+00,-1.10E+00,-1.09E+00,-1.10E+00,-1.11E+00,-1.11E+00,-1.13E+00,-1.10E+00,-1.1108404
OA2,terA,-1.04E+00,-1.05E+00,-1.03E+00,-1.03E+00,-1.03E+00,-1.06E+00,-1.05E+00,-1.04E+00,-1.04E+00,-1.02E+00,-1.0394063
CA2,terA,3.16E-01,3.49E-01,3.81E-01,3.62E-01,3.06E-01,3.62E-01,3.80E-01,3.67E-01,3.34E-01,3.14E-01,0.3470757
CA3,terA,3.15E-01,2.74E-01,2.92E-01,2.88E-01,3.17E-01,2.42E-01,2.86E-01,2.75E-01,3.30E-01,2.91E-01,0.2910479
NA1,terA,-1.10E+00,-1.12E+00,-1.12E+00,-1.10E+00,-1.12E+00,-1.12E+00,-1.08E+00,-1.10E+00,-1.04E+00,-1.06E+00,-1.0965216
HA1,terA,4.05E-01,3.97E-01,3.99E-01,3.87E-01,3.98E-01,4.30E-01,3.80E-01,4.09E-01,3.85E-01,3.54E-01,0.3944186
HA2,terA,3.78E-01,3.92E-01,4.11E-01,3.63E-01,4.02E-01,3.89E-01,3.79E-01,3.85E-01,3.45E-01,3.90E-01,0.3834155
CB1,terA,1.49E+00,1.48E+00,1.49E+00,1.47E+00,1.48E+00,1.50E+00,1.47E+00,1.48E+00,1.50E+00,1.48E+00,1.4836859
OB1,terA,-1.10E+00,-1.11E+00,-1.12E+00,-1.08E+00,-1.11E+00,-1.13E+00,-1.12E+00,-1.10E+00,-1.12E+00,-1.10E+00,-1.1085596
OB2,terA,-1.04E+00,-1.03E+00,-1.05E+00,-1.05E+00,-1.05E+00,-1.05E+00,-1.02E+00,-1.04E+00,-1.05E+00,-1.05E+00,-1.0419169
CB2,terA,4.10E-01,3.06E-01,3.59E-01,3.47E-01,3.35E-01,3.77E-01,3.80E-01,3.60E-01,3.73E-01,4.07E-01,0.3651463
CB3,terA,3.03E-01,3.72E-01,2.79E-01,3.12E-01,3.64E-01,3.43E-01,3.07E-01,2.96E-01,3.43E-01,3.73E-01,0.3291498
NB1,terA,-1.07E+00,-1.12E+00,-1.09E+00,-1.03E+00,-1.17E+00,-1.11E+00,-1.10E+00,-1.14E+00,-1.15E+00,-1.12E+00,-1.1096523
HB1,terA,3.79E-01,3.89E-01,3.96E-01,3.49E-01,3.95E-01,3.83E-01,3.63E-01,3.65E-01,4.03E-01,4.11E-01,0.3833076
HB2,terA,3.85E-01,4.12E-01,3.70E-01,3.48E-01,4.34E-01,3.88E-01,3.96E-01,4.24E-01,3.90E-01,3.87E-01,0.3934841
CD6,terA,-1.48E-01,-1.08E-01,-1.31E-01,2.31E-02,-1.12E-01,4.64E-02,6.01E-02,-7.40E-02,-7.11E-02,1.96E-03,-0.0512983
HD4,terA,7.88E-02,5.32E-02,8.72E-02,5.11E-02,5.61E-02,-4.43E-03,4.58E-02,6.81E-02,4.31E-02,7.17E-02,0.0550643
1CD,terB,7.60E-02,6.45E-02,5.39E-02,7.87E-02,7.29E-02,9.43E-02,1.07E-01,8.35E-02,5.70E-02,1.05E-01,0.0792934
1CD4,terB,3.71E-02,6.38E-02,3.87E-02,8.18E-02,6.15E-02,5.65E-02,6.69E-02,5.34E-02,8.21E-02,1.08E-01,0.0650245
1CA2,terB,5.89E-02,3.30E-02,6.73E-02,9.45E-02,7.90E-02,7.74E-02,9.63E-02,1.14E-01,6.36E-02,9.45E-02,0.077869
2CA2,terB,7.06E-02,1.16E-01,7.62E-02,6.50E-02,8.54E-02,7.08E-02,1.05E-01,7.85E-02,9.29E-02,8.08E-02,0.0840374
1CA3,terB,-4.24E-03,-1.44E-02,4.95E-02,4.68E-02,2.71E-02,3.50E-02,7.56E-02,4.20E-02,2.72E-02,4.25E-02,0.0327177
2CA3,terB,8.44E-02,6.71E-02,4.10E-02,1.25E-02,3.99E-02,4.22E-02,1.28E-02,5.71E-02,6.21E-02,3.54E-02,0.0454526
1CB2,terB,1.96E-02,3.15E-02,8.88E-02,1.22E-01,9.07E-02,6.48E-02,5.20E-02,7.91E-02,9.87E-02,8.18E-02,0.0752778
2CB2,terB,9.58E-02,5.79E-02,1.15E-01,4.98E-02,1.15E-01,3.90E-02,5.48E-02,9.00E-02,8.26E-02,6.45E-02,0.0765224
1CB3,terB,3.98E-03,4.31E-02,7.98E-02,5.30E-02,2.53E-03,4.74E-02,8.72E-03,3.85E-02,8.27E-02,5.42E-02,0.0413961
2CB3,terB,6.28E-02,4.36E-02,4.51E-02,3.18E-02,1.92E-02,5.76E-02,8.42E-03,3.40E-02,8.92E-02,4.74E-02,0.0439005
1CD3,OXO0,8.68E-02,8.12E-02,7.67E-02,7.38E-02,9.33E-02,7.66E-02,6.43E-02,6.64E-02,7.64E-02,6.04E-02,0.075612
1CD4,OXO0,6.70E-02,8.78E-02,1.98E-02,1.25E-01,7.36E-02,8.69E-02,1.00E-01,9.70E-02,3.13E-02,8.17E-02,0.0770091
1CA2,OXO0,1.34E-01,7.39E-02,8.99E-02,1.10E-01,6.09E-02,6.19E-02,1.09E-01,6.93E-02,9.35E-02,6.84E-02,0.0871145
2CA2,OXO0,3.24E-02,3.09E-02,8.18E-02,7.93E-02,1.14E-01,5.25E-02,6.32E-02,7.18E-02,9.75E-02,1.02E-01,0.0725188
1CA3,OXO0,3.47E-02,5.76E-02,3.19E-02,1.24E-02,8.76E-02,-1.06E-02,2.99E-03,1.13E-02,8.97E-02,9.70E-02,0.0414498
2CA3,OXO0,1.06E-02,4.66E-02,5.05E-02,3.97E-02,5.38E-02,4.57E-02,3.29E-02,7.71E-02,1.67E-02,2.36E-02,0.0397163
1CB2,OXO0,6.23E-02,4.85E-02,5.09E-02,5.73E-02,1.02E-01,8.96E-02,7.46E-02,7.50E-02,8.42E-02,6.68E-02,0.0711547
2CB2,OXO0,1.15E-01,1.11E-01,1.08E-01,9.50E-02,2.55E-02,7.36E-02,1.02E-01,3.28E-02,1.27E-02,1.28E-01,0.0803929
1CB3,OXO0,3.94E-03,1.20E-02,4.15E-02,4.80E-02,2.26E-02,4.42E-02,3.90E-02,7.25E-02,9.43E-02,7.22E-02,0.0450224
2CB3,OXO0,3.40E-02,6.13E-02,2.17E-02,4.88E-02,3.61E-02,4.71E-02,4.97E-02,5.97E-02,4.62E-02,5.38E-02,0.0458249
1CD3,terA,4.80E-02,1.68E-02,8.21E-02,9.18E-02,1.02E-01,1.42E-01,9.59E-02,4.55E-02,6.63E-02,8.23E-02,0.0773152
1CD4,terA,4.81E-02,6.97E-02,8.21E-02,8.14E-02,8.25E-02,6.91E-02,5.75E-02,1.17E-01,8.63E-02,4.94E-02,0.0743516
1CA2,terA,4.51E-02,9.70E-02,8.45E-02,9.89E-02,1.02E-01,1.15E-01,8.12E-02,9.06E-02,5.26E-02,7.33E-02,0.0840558
2CA2,terA,1.32E-01,6.54E-02,5.15E-02,4.06E-02,9.80E-02,6.74E-02,6.25E-02,6.10E-02,1.15E-01,1.22E-01,0.0816318
1CA3,terA,4.52E-03,2.86E-02,5.78E-03,9.27E-02,6.73E-02,5.91E-02,3.93E-02,5.29E-02,-2.29E-02,6.03E-02,0.0387401
2CA3,terA,6.36E-02,8.34E-02,6.37E-02,1.56E-02,-6.74E-03,2.18E-02,5.35E-02,2.57E-02,6.40E-02,1.43E-02,0.0398985
1CB2,terA,4.71E-02,8.58E-02,3.53E-02,6.93E-02,4.86E-02,9.33E-02,7.53E-02,4.10E-02,1.01E-01,9.45E-02,0.0691513
2CB2,terA,6.03E-02,6.40E-02,8.77E-02,8.71E-02,1.02E-01,4.70E-02,7.03E-02,8.64E-02,5.41E-02,1.40E-02,0.0673106
1CB3,terA,2.01E-02,4.90E-02,7.15E-02,4.70E-02,1.67E-02,1.88E-02,2.62E-02,3.77E-02,2.67E-02,-1.73E-02,0.0296403
2CB3,terA,4.06E-02,1.03E-02,6.52E-02,4.47E-02,4.89E-02,4.03E-02,4.91E-02,7.33E-02,3.54E-02,2.42E-02,0.0431979
